"","Sector","ICP","IRP","IB"
"1",390,3.96039603960396,1.73913043478261,3.96039603960396
"2",400,7.14285714285714,2.25563909774436,7.14285714285714
"3",401,8.69565217391304,4.25531914893617,8.69565217391304
"4",403,5.88235294117647,2.17391304347826,5.88235294117647
"5",444,4.76190476190476,2.92397660818713,7.93650793650794
"6",500,10.2040816326531,3.2051282051282,10.2040816326531
"7",513,0,0,0
"8",540,14.0845070422535,4.5643153526971,15.4929577464789
"9",569,19.5121951219512,3.8265306122449,36.5853658536585
"10",1305,10,3.07692307692308,8
